/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/LunarLander_VarFramerate_KF_fc_2.0_bud_75_windTrue_20_2.0_vert20_sns0.05_29-07-17-31-02/info_settings.txt
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
global_step=1632 | return=-332.15 | steps=51
global_step=1664 | return=-234.70 | steps=52
global_step=1728 | return=-352.31 | steps=54
global_step=1824 | return=-478.06 | steps=57
global_step=1824 | return=-161.79 | steps=57
global_step=1888 | return=-404.92 | steps=59
global_step=1888 | return=-188.41 | steps=59
global_step=1952 | return=-547.72 | steps=61
global_step=2016 | return=-520.52 | steps=63
global_step=2048 | return=-286.72 | steps=64
global_step=2112 | return=-256.07 | steps=66
global_step=2304 | return=-243.94 | steps=72
global_step=2336 | return=-229.75 | steps=73
global_step=2592 | return=-222.86 | steps=81
global_step=2624 | return=-404.98 | steps=82
global_step=2688 | return=-197.70 | steps=84
global_step=2688 | return=-436.56 | steps=84
global_step=2816 | return=-328.81 | steps=88
global_step=2848 | return=-833.76 | steps=89
global_step=2848 | return=-528.53 | steps=89
global_step=3072 | return=-161.85 | steps=96
global_step=3104 | return=-146.65 | steps=97
global_step=3136 | return=-297.70 | steps=98
global_step=3488 | return=-137.05 | steps=109
global_step=3520 | return=-100.44 | steps=110
global_step=3584 | return=-104.22 | steps=112
global_step=3648 | return=-348.82 | steps=114
global_step=3712 | return=-475.02 | steps=61
global_step=3840 | return=-233.46 | steps=60
global_step=3968 | return=-219.67 | steps=59
global_step=4000 | return=-233.13 | steps=125
global_step=4032 | return=-531.81 | steps=73
global_step=4064 | return=-116.85 | steps=69
global_step=4096 | return=-412.32 | steps=128
global_step=4192 | return=-248.73 | steps=69
global_step=4224 | return=-274.81 | steps=80
global_step=4288 | return=-242.15 | steps=70
global_step=4352 | return=-258.17 | steps=76
global_step=4416 | return=-291.41 | steps=80
global_step=4480 | return=-344.51 | steps=50
global_step=4800 | return=-398.26 | steps=150
global_step=4864 | return=-252.78 | steps=55
global_step=4928 | return=-273.68 | steps=55
global_step=4992 | return=-365.46 | steps=73
global_step=5088 | return=-267.94 | steps=92
global_step=5088 | return=-195.85 | steps=85
global_step=5120 | return=-337.94 | steps=75
global_step=5184 | return=-549.89 | steps=64
global_step=5216 | return=-170.49 | steps=81
global_step=5280 | return=-140.68 | steps=92
global_step=5504 | return=-467.88 | steps=61
global_step=5568 | return=-266.89 | steps=64
global_step=5664 | return=-332.36 | steps=87
global_step=5792 | return=-370.79 | steps=54
global_step=5856 | return=-529.08 | steps=62
global_step=6176 | return=-225.41 | steps=80
global_step=6208 | return=-216.57 | steps=53
global_step=6464 | return=-575.09 | steps=63
global_step=6464 | return=-337.45 | steps=51
global_step=6592 | return=-234.61 | steps=91
global_step=6592 | return=-234.87 | steps=77
global_step=6592 | return=-718.38 | steps=71
global_step=6656 | return=-641.18 | steps=82
global_step=6784 | return=-468.96 | steps=57
global_step=6848 | return=211.69 | steps=214
global_step=6880 | return=-192.12 | steps=83
global_step=6944 | return=-216.88 | steps=84
global_step=7040 | return=-226.26 | steps=63
global_step=7040 | return=-291.79 | steps=67
global_step=7072 | return=-321.80 | steps=96
global_step=7200 | return=-495.22 | steps=64
global_step=7264 | return=-344.25 | steps=67
