/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/LunarLander_VarFramerate_BudTerm_fc_2.0_bud_50_27-07-14-57-35/info_settings.txt
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
global_step=1600 | return=-318.93 | steps=50
global_step=1664 | return=-343.57 | steps=52
global_step=1728 | return=-374.81 | steps=54
global_step=1792 | return=-412.06 | steps=56
global_step=1824 | return=-260.48 | steps=57
global_step=1856 | return=-463.65 | steps=58
global_step=1984 | return=-530.67 | steps=62
global_step=1984 | return=-298.57 | steps=62
global_step=2080 | return=-359.72 | steps=65
global_step=2112 | return=-468.72 | steps=66
global_step=2272 | return=-455.88 | steps=71
global_step=2368 | return=-601.72 | steps=74
global_step=2560 | return=-598.01 | steps=80
global_step=2592 | return=-261.45 | steps=81
global_step=2624 | return=-279.30 | steps=82
global_step=2656 | return=-873.67 | steps=83
global_step=2688 | return=-674.36 | steps=84
global_step=2688 | return=-724.07 | steps=84
global_step=2880 | return=-314.51 | steps=90
global_step=2880 | return=-166.06 | steps=90
global_step=2976 | return=-304.54 | steps=93
global_step=3264 | return=-90.20 | steps=102
global_step=3264 | return=-471.15 | steps=102
global_step=3392 | return=-145.01 | steps=106
global_step=3488 | return=-209.79 | steps=109
global_step=3680 | return=-192.99 | steps=60
global_step=3808 | return=-467.32 | steps=61
global_step=3840 | return=-247.42 | steps=54
global_step=4000 | return=-150.43 | steps=74
global_step=4192 | return=-266.18 | steps=78
global_step=4224 | return=-338.25 | steps=132
global_step=4352 | return=-272.72 | steps=136
global_step=4384 | return=-444.22 | steps=137
global_step=4480 | return=-389.05 | steps=81
global_step=4736 | return=-314.77 | steps=85
global_step=4768 | return=-201.49 | steps=65
global_step=4768 | return=-206.12 | steps=92
global_step=4800 | return=-282.11 | steps=67
global_step=4832 | return=-606.42 | steps=84
global_step=5024 | return=-546.89 | steps=66
global_step=5024 | return=-161.16 | steps=157
global_step=5056 | return=-256.71 | steps=77
global_step=5088 | return=-374.16 | steps=56
global_step=5120 | return=-335.97 | steps=66
global_step=5344 | return=-547.62 | steps=64
global_step=5504 | return=-335.01 | steps=51
global_step=5536 | return=-399.70 | steps=98
global_step=5696 | return=-260.71 | steps=178
global_step=5696 | return=-333.49 | steps=106
global_step=5728 | return=-323.67 | steps=88
global_step=5792 | return=-250.24 | steps=96
